"Season","Artist","Plays"
"Summer","Alexander Molina",8
"Summer","Alma Grotte",8
"Summer","Amir Obe",8
"Summer","Angelo De Augustine",8
"Summer","Anjulie",8
"Summer","BAYNK",8
"Summer","Bakermat",8
"Summer","Billy Marchiafava",8
"Summer","Biqram",8
"Summer","Brett Eldredge",8
"Summer","Cellophane Roses",8
"Summer","Chama Wijnen",8
"Summer","Da?i Freyr",8
"Summer","Dan + Shay",8
"Summer","David Kushner",8
"Summer","Daya",8
"Summer","Dizzy",8
"Summer","Farruko",8
"Summer","Floriscope",8
"Summer","Gabrielle Aplin",8
"Summer","Gnarls Barkley",8
"Summer","Gracie Abrams",8
"Summer","Gunna",8
"Summer","Haley Reinhart",8
"Summer","Hans Zimmer",8
"Summer","Indila",8
"Summer","Joel Adams",8
"Summer","Kap Slap",8
"Summer","Kiiara",8
"Summer","Kyle McEvoy",8
"Summer","L.Dre",8
"Summer","Late Era",8
"Summer","Lennon Stella",8
"Summer","Leo Baumgart",8
"Summer","Lil Tjay",8
"Summer","Lovd Ones",8
"Summer","MEMBA",8
"Summer","MORTEN",8
"Summer","Maleek Berry",8
"Summer","Masala Roo",8
"Summer","NGHTMRE",8
"Summer","Nadine Gaertner",8
"Summer","Nao",8
"Summer","Of Rust & Bone",8
"Summer","Paradise Sunset",8
"Summer","Petros Idris",8
"Summer","Prince Fox",8
"Summer","ROSALIA",8
"Summer","Ramin Djawadi",8
"Summer","Rosetta Arroyo",8
"Summer","SYDE",8
"Summer","Sam Fischer",8
"Summer","Sara Bareilles",8
"Summer","Serene & Pax",8
"Summer","Sevyn Streeter",8
"Summer","Sigala",8
"Summer","Sky McCreery",8
"Summer","Sofia Reyes",8
"Summer","Sophie Simmons",8
"Summer","Still Woozy",8
"Summer","Tiwa Savage",8
"Summer","Tove Lo",8
"Summer","Turquoise & Fire",8
"Summer","Voyager",8
"Summer","Wafia",8
"Summer","Xuitcasecity",8
"Summer","Zack Knight",8
"Summer","easy life",8
"Summer","minite",8
"Winter","A L E X",8
"Winter","Afro B",8
"Winter","Ajay Stephens",8
"Winter","Andrew Garcia",8
"Winter","Anitta",8
"Winter","Astrid S",8
"Winter","Avonlea",8
"Winter","Axian",8
"Winter","BAYNK",8
"Winter","Bad Meets Evil",8
"Winter","Berlioz",8
