"ID","Year","Song","Plays"
"5LLtNp8qc3NaCIieZ2W4Dk","2021","Petit Biscuit ~ Night Trouble",28
"7J9SWm2yp6mDmbM4ESRCAQ","2021","Mauve ~ Take Me Dancing",28
"44ngiCPfS8FfdJOqN0eULl","2021","ZAYN ~ Tightrope",28
"3YUMWmx8EJq0DurfuIwoGh","2021","Billie Eilish ~ my future",28
"7cflqPPi3zWfLFRRBTWeh6","2021","Jeremy Zucker ~ talk is overrated",28
"3jJF3ryUPsdhvZKpmmfSZh","2022","Ludovico Einaudi ~ Giorni Dispari",28
"0V5cvmTKsYmF5FmGGEAfmS","2022","Patrick Watson ~ Je te laisserai des mots",28
"44ngiCPfS8FfdJOqN0eULl","2022","ZAYN ~ Tightrope",28
"1TPLsNVlofwX1txcE9gZZF","2022","Daniel Caesar ~ We Find Love",28
"6Gu1BaGI5ijqEqK3g6gvMi","2018","Shoffy ~ Different Skies",27
"4JehYebiI9JE8sR8MisGVb","2018","Beyonce ~ Halo",27
"3zSCNTXI7Ed0PiidZVmzIe","2018","R. Kelly ~ Ignition - Remix",27
"3HMzCcVRL5fHNF0Uv73LFV","2018","Carlie Hanson ~ Only One",27
