"MonthYear","Artist","Plays"
"2019-11","Ellie Goulding",17
"2019-11","Marshmello",17
"2019-11","OneRepublic",17
"2019-11","Panic! At The Disco",17
"2019-12","Bas",17
"2019-12","NLE Choppa",17
"2019-12","Wham!",17
"2019-12","mike.",17
"2020-01","J. Cole",17
"2020-02","DaBaby",17
"2020-02","Mura Masa",17
"2020-04","Roddy Ricch",17
"2020-04","Shakira",17
"2020-06","Led Zeppelin",17
"2020-06","Travis Scott",17
"2020-06","Tyler, The Creator",17
"2020-07","Logic",17
"2020-08","Jethro Tull",17
"2020-09","Tim Hardin",17
"2020-10","Joe Cocker",17
"2020-10","The Band",17
"2021-01","KIDS SEE GHOSTS",17
"2021-01","Miguel",17
"2021-01","TOTO",17
"2021-03","Bruno Mars",17
"2021-04","JAY-Z",17
"2021-04","Traffic",17
"2021-08","Juice WRLD",17
"2021-09","The Neighbourhood",17
"2021-12","Fitz and The Tantrums",17
"2022-01","Bryson Tiller",17
"2022-03","Frank Ocean",17
"2022-03","midwxst",17
"2022-04","Coldplay",17
"2022-05","Calvin Harris",17
"2022-05","Coldplay",17
"2022-06","Childish Gambino",17
"2022-08","XXXTENTACION",17
"2017-05","Khalid",16
"2017-07","Chance the Rapper",16
"2017-08","Tyler, The Creator",16
"2017-10","Bon Jovi",16
"2017-10","Usher",16
"2017-12","Maroon 5",16
"2018-03","Calvin Harris",16
"2018-04","The Weeknd",16
"2018-08","The Weeknd",16
"2018-11","Eminem",16
"2019-03","Marshmello",16
"2019-04","NAV",16
"2019-04","OneRepublic",16
"2019-04","The Weeknd",16
"2019-04","mike.",16
"2019-05","Maroon 5",16
"2019-05","NAV",16
"2019-05","blackbear",16
"2019-07","Logic",16
"2019-07","Shaan",16
"2019-08","J. Cole",16
"2019-08","Tyler, The Creator",16
"2019-08","Young Thug",16
"2019-09","Lil Mosey",16
"2019-09","Lil Tecca",16
"2019-10","Bas",16
"2019-10","Lil Mosey",16
"2019-11","Justin Timberlake",16
"2019-11","Khalid",16
"2019-12","Bantu",16
