"Season","Album","Plays"
"Winter","Alina Baraz ~ Electric (feat. Khalid)",33
"Winter","Ryan Trey ~ Nowhere To Run",33
"Winter","Black Eyed Peas ~ THE E.N.D. (THE ENERGY NEVER DIES)",33
"Fall","Lil Mosey ~ Certified Hitmaker",32
"Fall","Veorra ~ Emerald",32
"Fall","David Guetta ~ One Love",32
"Fall","Lynyrd Skynyrd ~ Second Helping",32
"Fall","Lil Wayne ~ Tha Carter V",32
"Fall","G-Eazy ~ These Things Happen",32
"Spring","Drake ~ 0 To 100 / The Catch Up",32
"Spring","Marshmello ~ Alone",32
"Spring","Frank Ocean ~ Chanel",32
"Spring","Vance Joy ~ Dream Your Life Away",32
"Spring","Shankar-Ehsaan-Loy ~ Kal Ho Naa Ho (Original Motion Picture Soundtrack)",32
"Spring","Lil Wayne ~ Tha Carter V",32
"Spring","Drake ~ Thank Me Later",32
"Spring","Rex Orange County ~ WHO CARES?",32
"Spring","21 Savage ~ i am > i was",32
"Summer","Lil Nas X ~ 7 EP",32
"Summer","XXXTENTACION ~ ?",32
"Summer","DNCE ~ DNCE",32
"Summer","Thundercat ~ Drunk",32
"Winter","Jason Derulo ~ Jason Derulo",32
"Winter","The Beatles ~ Please Please Me",32
"Winter","Logic ~ Under Pressure",32
"Fall","Metro Boomin ~ HEROES & VILLAINS",31
"Fall","Bryce Hase ~ Off the Planet",31
"Fall","The Beatles ~ The Beatles",31
"Spring","OneRepublic ~ Dreaming Out Loud",31
"Spring","Eric Bellinger ~ Valet (feat. Fetty Wap and 2 Chainz)",31
"Summer","Young Thug ~ Beautiful Thugger Girls",31
"Summer","Red Hot Chili Peppers ~ Blood Sugar Sex Magik",31
"Summer","Ellie Goulding ~ Close To Me (feat. Swae Lee)",31
"Summer","OneRepublic ~ Dreaming Out Loud",31
"Summer","Green Day ~ Greatest Hits: God's Favorite Band",31
"Summer","Huncho Jack ~ Huncho Jack, Jack Huncho",31
"Summer","MGMT ~ Oracular Spectacular",31
"Summer","Dizaro ~ Sunny Day",31
"Summer","Lil Uzi Vert ~ XO TOUR Llif3",31
"Winter","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",31
"Winter","DJ Khaled ~ Grateful",31
"Winter","Roy Woods ~ Say Less",31
"Fall","42 Dugg ~ Free Dem Boyz",30
"Fall","PARTYNEXTDOOR ~ LOYAL (feat. Drake)",30
"Fall","Juice WRLD ~ Legends Never Die",30
"Fall","The Beatles ~ Let It Be",30
"Fall","RL Grime ~ NOVA",30
"Fall","Lorde ~ Pure Heroine",30
"Fall","Dizaro ~ Sunny Day",30
"Fall","Drake ~ Thank Me Later",30
"Fall","Logic ~ Under Pressure",30
"Spring","Joey Bada$$ ~ 1999",30
"Spring","CHASE B ~ Cafeteria (feat. Gunna)",30
"Spring","Fetty Wap ~ Fetty Wap",30
"Spring","Ed Sheeran ~ Shape of You",30
"Spring","blackbear ~ deadroses",30
"Summer","Calvin Harris ~ Motion",30
"Summer","Daft Punk ~ Random Access Memories",30
